model,K,approximate_similarities,num_threads,k1,b,val_precision_10,val_recall_10,val_ndcg_10,val_combined
BM25,75,,8,2.0,0.75,0.0,0.0,0.0,0.0
BM25,75,,8,2.0,1.0,0.0,0.0,0.0,0.0
BM25,100,,8,0.5,0.5,0.0,0.0,0.0,0.0
BM25,100,,8,0.5,0.75,0.0,0.0,0.0,0.0
BM25,100,,8,0.5,1.0,0.0,0.0,0.0,0.0
BM25,100,,8,1.0,0.5,0.0,0.0,0.0,0.0
BM25,100,,8,1.0,0.75,0.0,0.0,0.0,0.0
BM25,100,,8,1.0,1.0,0.0,0.0,0.0,0.0
BM25,100,,8,1.5,0.5,0.0,0.0,0.0,0.0
BM25,100,,8,1.5,0.75,0.0,0.0,0.0,0.0
BM25,100,,8,1.5,1.0,0.0,0.0,0.0,0.0
BM25,100,,8,2.0,0.5,0.0,0.0,0.0,0.0
BM25,100,,8,2.0,0.75,0.0,0.0,0.0,0.0
BM25,100,,8,2.0,1.0,0.0,0.0,0.0,0.0
BM25,150,,8,0.5,0.5,0.0,0.0,0.0,0.0
BM25,150,,8,0.5,0.75,0.0,0.0,0.0,0.0
BM25,150,,8,0.5,1.0,0.0,0.0,0.0,0.0
BM25,150,,8,1.0,0.5,0.0,0.0,0.0,0.0
BM25,150,,8,1.0,0.75,0.0,0.0,0.0,0.0
BM25,150,,8,1.0,1.0,0.0,0.0,0.0,0.0
BM25,150,,8,1.5,0.5,0.0,0.0,0.0,0.0
BM25,150,,8,1.5,0.75,0.0,0.0,0.0,0.0
BM25,150,,8,1.5,1.0,0.0,0.0,0.0,0.0
BM25,150,,8,2.0,0.5,0.0,0.0,0.0,0.0
BM25,150,,8,2.0,0.75,0.0,0.0,0.0,0.0
BM25,150,,8,2.0,1.0,0.0,0.0,0.0,0.0
BM25,200,,8,0.5,0.5,0.0,0.0,0.0,0.0
BM25,200,,8,0.5,0.75,0.0,0.0,0.0,0.0
BM25,200,,8,0.5,1.0,0.0,0.0,0.0,0.0
BM25,200,,8,1.0,0.5,0.0,0.0,0.0,0.0
BM25,200,,8,1.0,0.75,0.0,0.0,0.0,0.0
BM25,200,,8,1.0,1.0,0.0,0.0,0.0,0.0
BM25,200,,8,1.5,0.5,0.0,0.0,0.0,0.0
BM25,200,,8,1.5,0.75,0.0,0.0,0.0,0.0
BM25,200,,8,1.5,1.0,0.0,0.0,0.0,0.0
BM25,200,,8,2.0,0.5,0.0,0.0,0.0,0.0
BM25,200,,8,2.0,0.75,0.0,0.0,0.0,0.0
BM25,200,,8,2.0,1.0,0.0,0.0,0.0,0.0
TFIDF,10,,8,,,0.016666666666666666,0.08333333333333333,0.029539881130674624,0.053861964339202394
TFIDF,20,,8,,,0.0,0.0,0.0,0.0
TFIDF,30,,8,,,0.0,0.0,0.0,0.0
TFIDF,50,,8,,,0.0,0.0,0.0,0.0
TFIDF,75,,8,,,0.0,0.0,0.0,0.0
TFIDF,100,,8,,,0.0,0.0,0.0,0.0
TFIDF,150,,8,,,0.0,0.0,0.0,0.0
TFIDF,200,,8,,,0.0,0.0,0.0,0.0
